YearMonth,ChannelKey,SalesTarget,MarginTarget
2023-01,1,164875.00,59355.00
2023-01,2,137987.50,52435.25
2023-01,3,82137.50,32855.00
2023-02,1,178250.00,64170.00
2023-02,2,146780.00,55776.40
2023-02,3,90570.00,36228.00
2023-03,1,164875.00,59355.00
2023-03,2,130822.50,49712.55
2023-03,3,110752.50,44301.00
2023-04,1,172250.00,62010.00
2023-04,2,151865.00,57708.70
2023-04,3,94685.00,37874.00
2023-05,1,186875.00,67275.00
2023-05,2,139657.50,53069.85
2023-05,3,102367.50,40947.00
2023-06,1,179000.00,64440.00
2023-06,2,155700.00,59166.00
2023-06,3,99550.00,39820.00
2023-07,1,182125.00,65565.00
2023-07,2,145992.50,55477.15
2023-07,3,106982.50,42793.00
2023-08,1,191000.00,68760.00
2023-08,2,152285.00,57868.30
2023-08,3,119665.00,47866.00
2023-09,1,194375.00,69975.00
2023-09,2,162827.50,61874.45
2023-09,3,104847.50,41939.00
2023-10,1,209500.00,75420.00
2023-10,2,159870.00,60750.60
2023-10,3,113530.00,45412.00
2023-11,1,198125.00,71325.00
2023-11,2,173412.50,65896.75
2023-11,3,115462.50,46185.00
2023-12,1,210250.00,75690.00
2023-12,2,169455.00,64392.90
2023-12,3,121145.00,48458.00
2024-01,1,169625.00,61065.00
2024-01,2,140487.50,53385.25
2024-01,3,84637.50,33855.00
2024-02,1,177500.00,63900.00
2024-02,2,128030.00,48651.40
2024-02,3,90070.00,36028.00
2024-03,1,179875.00,64755.00
2024-03,2,142322.50,54082.55
2024-03,3,105752.50,42301.00
2024-04,1,168250.00,60570.00
2024-04,2,152615.00,57993.70
2024-04,3,103435.00,41374.00
2024-05,1,174375.00,62775.00
2024-05,2,139157.50,52879.85
2024-05,3,112617.50,45047.00
2024-06,1,180000.00,64800.00
2024-06,2,148450.00,56411.00
2024-06,3,118050.00,47220.00
2024-07,1,201125.00,72405.00
2024-07,2,144992.50,55097.15
2024-07,3,120482.50,48193.00
2024-08,1,202000.00,72720.00
2024-08,2,161535.00,61383.30
2024-08,3,102165.00,40866.00
2024-09,1,200625.00,72225.00
2024-09,2,151077.50,57409.45
2024-09,3,108097.50,43239.00
2024-10,1,194750.00,70110.00
2024-10,2,160120.00,60845.60
2024-10,3,110280.00,44112.00
2024-11,1,211125.00,76005.00
2024-11,2,181912.50,69126.75
2024-11,3,129462.50,51785.00
2024-12,1,214500.00,77220.00
2024-12,2,168205.00,63917.90
2024-12,3,121645.00,48658.00
