SaleID,OrderDate,OrderDateTime,CustomerID,ProductID,Revenue,Quantity,OrderStatus,OrderNote
S001,2026-02-26,2026-02-26T09:00:00,C001,P001,1400,2,Closed,alpha-north
S002,2026-02-27,2026-02-27T11:15:00,C002,P004,220,4,Closed,safety-promo
S003,2026-02-28,2026-02-28T13:30:00,C003,P007,480,3,Closed,east-style
S004,2026-03-01,2026-03-01T08:45:00,C004,P002,1250,1,Closed,west-launch
S005,2026-03-03,2026-03-03T10:00:00,C005,P003,1325,1,Closed,central-tour
S006,2026-03-05,2026-03-05T14:20:00,C006,P005,95,5,Closed,
S007,2026-03-07,2026-03-07T16:40:00,C007,P008,160,6,Closed,team-order
S008,2026-03-09,2026-03-09T09:25:00,C008,P006,310,2,Closed,repair-east
S009,2026-03-10,2026-03-10T12:00:00,C001,P002,1490,1,Closed,blue-bike
S010,2026-03-11,2026-03-11T15:35:00,C002,P009,520,2,Closed,rain-gear
S011,2026-03-12,2026-03-12T18:10:00,C003,P001,1410,1,Closed,fast-track
S012,2026-03-13,2026-03-13T10:45:00,C004,P004,240,3,Closed,helmet-west
S013,2026-03-13,2026-03-13T11:30:00,C005,P001,1580,2,Open,priority-central
S014,2026-03-13,2026-03-13T11:50:00,C006,P006,345,3,Open,
S015,2026-03-13,2026-03-13T12:05:00,C007,P003,1360,1,Open,south-tour
S016,2026-03-13,2026-03-13T12:20:00,C008,P005,110,4,Open,hydration
S017,2026-03-13,2026-03-13T12:40:00,C001,P007,530,2,Open,green-kit
S018,2026-03-13,2026-03-13T13:10:00,C002,P002,1515,1,Open,south-bike
S019,2026-03-14,2026-03-14T09:05:00,C003,P008,175,5,Open,glove-pack
S020,2026-03-16,2026-03-16T11:45:00,C004,P003,1380,1,Open,west-tour
S021,2026-03-18,2026-03-18T14:15:00,C005,P004,260,4,Open,helmet-bulk
S022,2026-03-20,2026-03-20T16:50:00,C006,P001,1620,2,Open,north-rush
S023,2026-03-24,2026-03-24T10:30:00,C007,P009,540,2,Planned,coastal-rain
S024,2026-03-27,2026-03-27T15:00:00,C008,P002,1540,1,Planned,east-bike
S025,2026-03-31,2026-03-31T17:20:00,C001,P006,330,2,Planned,repair-repeat
S026,2026-04-01,2026-04-01T09:40:00,C002,P003,1405,1,Planned,april-tour
S027,2026-04-02,2026-04-02T12:25:00,C003,P005,115,5,Planned,
S028,2026-04-03,2026-04-03T13:55:00,C004,P001,1650,2,Planned,april-west
